time_tick,lac_X_value,lac_Y_value,lac_Z_value,turn,success,hoop
35.137583,0.261954,-0.158428,-0.09491,5,1,1
35.172312,0.109263,-0.27749,-0.042551,5,1,1
35.202037,-0.065719,-0.153487,0.018168,5,1,1
35.236735,-0.385491,0.081666,-0.022589,5,1,1
35.271464,-0.691072,0.036039,-0.158653,5,1,1
35.306132,-1.001089,0.087136,-0.032735,5,1,1
35.335887,-1.082749,0.031986,-0.122643,5,1,1
35.370585,-1.015461,-0.135061,-0.127597,5,1,1
35.405284,-0.785185,0.055632,-0.209745,5,1,1
35.435008,-0.671587,0.059544,-0.395767,5,1,1
35.469737,-0.570687,0.070434,-0.465957,5,1,1
35.504435,-0.485429,0.140661,-0.359183,5,1,1
35.539134,-0.527771,0.038863,-0.252545,5,1,1
35.568888,-0.451682,-0.262439,-0.062099,5,1,1
35.603556,-0.238602,-0.075885,0.12837,5,1,1
35.638285,-0.270588,-0.249875,0.158822,5,1,1
35.672953,-0.144982,-0.056409,0.367174,5,1,1
35.702708,-0.124646,0.140653,0.227059,5,1,1
35.737437,-0.064975,0.218767,0.262191,5,1,1
35.772105,-0.086442,0.091235,0.394497,5,1,1
35.80186,-0.179079,0.031761,0.200679,5,1,1
35.836558,-0.24583,-0.111972,-0.050551,5,1,1
35.871256,-0.223807,-0.257888,-0.083314,5,1,1
35.905955,-0.260655,0.058985,-0.183303,5,1,1
35.93571,-0.248915,0.338934,-0.240322,5,1,1
35.970408,-0.133719,0.220545,-0.088888,5,1,1
36.005107,-0.142655,0.389032,-0.088607,5,1,1
36.039805,-0.213591,0.072134,-0.104667,5,1,1
36.069519,-0.278058,0.09397,0.070714,5,1,1
36.104248,-0.554919,-0.111802,0.0087,5,1,1
36.138916,-0.963666,0.237757,0.212292,5,1,1
36.168671,-0.683585,0.006013,-0.044872,5,1,1
36.2034,-0.051703,-0.195452,-0.24272,5,1,1
36.238068,0.246779,-0.04315,-0.108081,5,1,1
36.267822,0.279692,-0.106007,-0.240766,5,1,1
36.302521,0.616121,-0.292828,-0.143152,5,1,1
36.337219,0.52383,-0.202286,-0.057183,5,1,1
36.371918,0.368654,-0.241134,-0.007639,5,1,1
36.401673,0.29643,-0.243113,0.250867,5,1,1
36.436371,0.046829,-0.354635,-0.022234,5,1,1
36.471069,-0.138882,-0.450171,-0.768397,5,1,1
36.505768,-0.1683,-0.570118,-2.569033,5,1,1
36.535492,0.649496,0.153919,-1.907394,5,1,1
36.570221,0.493839,-0.030811,-0.632439,5,1,1
36.60492,-0.421669,-0.919954,-0.968491,5,1,1
36.634644,0.415825,-0.951675,-0.370182,5,1,1
36.669373,1.892802,-0.478302,-0.414257,5,1,1
36.704041,2.378488,-0.679762,-0.478316,5,1,1
36.73877,2.98813,-1.51868,0.046617,5,1,1
36.773438,6.204773,0.495761,-0.71306,5,1,1
36.803192,21.669238,-2.194738,-0.232563,5,1,1
36.837921,5.474153,-3.549779,5.478411,5,1,1
36.867645,0.867676,-5.479074,-0.282464,5,1,1
36.902344,-4.029215,-2.075252,-0.702656,5,1,1
36.937042,-4.963924,-1.986399,-1.999221,5,1,1
36.971741,-0.612391,-1.121953,-1.502545,5,1,1
37.001465,1.282004,0.139249,-1.195289,5,1,1
37.036194,1.380377,-0.413966,-1.662995,5,1,1
37.07088,-0.29501,0.808255,-1.755039,5,1,1
37.105579,-0.940866,0.726846,-1.246846,5,1,1
37.140277,-1.584211,0.117549,-1.042942,5,1,1
37.170002,-1.197524,0.204513,-0.582969,5,1,1
37.204731,-0.857219,-0.269925,0.052356,5,1,1
37.239399,-1.812753,-0.312714,0.099886,5,1,1
37.269153,-1.972661,-0.256261,0.000468,5,1,1
37.303882,-1.953823,-0.604703,0.150392,5,1,1
37.33855,-1.478106,-0.158564,0.055063,5,1,1
37.368305,-0.557833,-0.165622,-0.226793,5,1,1
37.403003,0.173961,-0.337317,-0.410199,5,1,1
37.437702,-0.614562,-0.750926,0.083526,5,1,1
37.467426,-0.5397,-0.407735,0.112415,5,1,1
37.502155,-0.346197,-0.717975,0.473459,5,1,1
37.536853,-0.406673,-0.741243,0.024555,5,1,1
37.571552,0.148637,-1.072314,-0.123345,5,1,1
37.60625,0.406543,-0.820289,0.135151,5,1,1
37.635974,0.058734,-0.708023,-0.002462,5,1,1
37.670703,-0.255001,-0.383934,0.888963,5,1,1
37.705371,0.738017,-0.493583,-0.614997,5,1,1
37.735126,1.544987,-1.157903,0.295108,5,1,1
37.769855,1.29472,-1.010616,0.299911,5,1,1
37.804523,1.560257,0.081088,0.785196,5,1,1
37.839252,0.858969,-0.596998,0.997037,5,1,1
37.868976,1.348444,-0.661098,0.091883,5,1,1
37.903675,-0.02579,-0.479019,0.390318,5,1,1
37.938373,0.122136,-0.83929,-0.45542,5,1,1
37.973072,0.495976,-0.636857,0.268495,5,1,1
38.002826,0.207094,-0.942575,-0.161085,5,1,1
38.037525,0.64451,-0.780258,-0.227258,5,1,1
38.072205,0.670185,-0.585486,0.02487,5,1,1
38.101929,0.524081,-0.279417,-0.759553,5,1,1
38.136658,0.753941,0.262278,-0.840131,5,1,1
38.171326,0.276936,-0.21795,-0.773635,5,1,1
38.201081,0.051986,0.044125,-0.461733,5,1,1
